epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2373,1.77837,6.10575,0.12323,0.06934,0.0037,1,0.01021,0.00288,2.27325,10.5879,0.11971,0.00809,4e-05,4e-05,4e-05
2,37.634,1.50871,5.30147,0.10881,0.02899,0.00371,1,0.02201,0.0069,1.68554,9.73374,0.17576,0.00954,9.802e-05,9.802e-05,9.802e-05
3,55.1835,1.16435,5.67451,0.12161,0.02278,0.00376,1,0.12568,0.07707,0.79808,8.5142,0.25398,0.01745,0.000153664,0.000153664,0.000153664
4,71.0555,1.16341,4.95256,0.13913,0.01473,0.19342,0.3,0.22136,0.15513,1.02844,8.42002,0.29964,0.01859,0.000206932,0.000206932,0.000206932
5,86.9048,0.86637,4.36065,0.13442,0.00739,0.25708,0.7,0.2687,0.1648,1.22791,8.52281,0.30811,0.01247,0.000257824,0.000257824,0.000257824
6,102.776,0.76022,4.17956,0.12199,0.00802,0.30903,0.6718,0.3076,0.18742,1.27134,8.28205,0.28631,0.00679,0.00030634,0.00030634,0.00030634
7,118.854,0.62342,4.33153,0.10557,0.00625,0.25311,0.4,0.36484,0.21014,1.37016,7.94375,0.27347,0.00503,0.00035248,0.00035248,0.00035248
8,135.267,0.65326,4.14961,0.11747,0.00423,0.33577,0.6,0.36902,0.19833,1.53975,8.03039,0.27121,0.00788,0.000396244,0.000396244,0.000396244
9,151.74,0.66094,3.62447,0.12011,0.00977,0.40328,0.6,0.49319,0.27336,1.33435,7.72611,0.28332,0.00747,0.000437632,0.000437632,0.000437632
10,167.837,0.64232,3.92167,0.12239,0.00287,0.42018,0.6,0.42179,0.27483,1.1041,7.32475,0.29354,0.00588,0.000476644,0.000476644,0.000476644
11,183.88,0.54052,3.7412,0.1306,0.00299,0.53833,0.3,0.52748,0.3575,0.95982,6.7374,0.27769,0.0029,0.00051328,0.00051328,0.00051328
12,199.905,0.62323,3.49159,0.13157,0.00281,0.70764,0.5,0.56077,0.43085,0.76105,6.25497,0.26879,0.00275,0.00054754,0.00054754,0.00054754
13,216.015,0.49729,3.35904,0.12674,0.00312,0.52579,0.6,0.609,0.5497,0.5595,5.46315,0.26185,0.00587,0.000579424,0.000579424,0.000579424
14,232.908,0.51965,3.07728,0.09542,0.00342,0.61373,0.63775,0.71153,0.65505,0.51025,5.09305,0.25374,0.00783,0.000608932,0.000608932,0.000608932
15,251.948,0.57157,3.16858,0.10306,0.0054,0.61,1,0.83052,0.75438,0.45635,4.41566,0.2326,0.00622,0.000636064,0.000636064,0.000636064
16,270.877,0.56203,3.26077,0.11588,0.00283,0.82401,0.93844,0.91833,0.86193,0.40945,4.21268,0.23348,0.00334,0.00066082,0.00066082,0.00066082
17,290.386,0.44047,3.13917,0.11035,0.00369,0.763,0.96759,0.87596,0.85686,0.27511,3.94856,0.24899,0.00152,0.0006832,0.0006832,0.0006832
18,309.735,0.48978,2.78742,0.11471,0.00358,0.6922,1,0.87577,0.85852,0.28894,3.84333,0.2463,0.00135,0.000703204,0.000703204,0.000703204
19,329.071,0.51062,2.82033,0.12558,0.00458,0.85091,0.8,0.91563,0.84646,0.3789,3.76529,0.24011,0.00117,0.000720832,0.000720832,0.000720832
20,348.438,0.5471,2.6084,0.11325,0.00287,0.95467,0.8,0.93932,0.89732,0.37777,3.63869,0.24167,0.00128,0.000736084,0.000736084,0.000736084
21,371.301,0.43757,2.37452,0.11481,0.00327,1,0.96992,0.995,0.9781,0.29792,3.43857,0.25121,0.00213,0.00074896,0.00074896,0.00074896
22,391.919,0.44826,2.61278,0.12905,0.00484,1,0.99873,0.995,0.94224,0.36232,3.33346,0.25997,0.00332,0.00075946,0.00075946,0.00075946
23,412.581,0.59516,2.61527,0.12774,0.00372,0.99215,1,0.995,0.93502,0.3675,3.23413,0.25818,0.00371,0.000767584,0.000767584,0.000767584
24,433.164,0.56598,2.46101,0.12154,0.00412,0.98398,1,0.995,0.96855,0.32497,3.12546,0.25133,0.0028,0.000773332,0.000773332,0.000773332
25,453.349,0.5185,2.21684,0.11974,0.00304,1,0.99108,0.995,0.91723,0.37439,3.03245,0.24575,0.00219,0.000776704,0.000776704,0.000776704
26,474.91,0.48519,2.27809,0.1075,0.00301,1,0.99194,0.995,0.91978,0.37659,2.92055,0.24717,0.00225,0.0007777,0.0007777,0.0007777
27,496.172,0.47543,1.86531,0.09322,0.00196,1,0.9902,0.995,0.9726,0.34175,2.82578,0.25432,0.0027,0.00077632,0.00077632,0.00077632
28,517.499,0.65577,2.43029,0.14713,0.00271,1,0.99169,0.995,0.93534,0.39025,2.75279,0.2554,0.00404,0.000772564,0.000772564,0.000772564
29,539.332,0.40755,2.03155,0.13373,0.0034,1,0.99169,0.995,0.93534,0.39025,2.75279,0.2554,0.00404,0.000766432,0.000766432,0.000766432
30,561.532,0.56075,1.86673,0.12583,0.0027,1,0.99246,0.995,0.96485,0.3398,2.63428,0.25223,0.00396,0.000757924,0.000757924,0.000757924
31,583.256,0.55464,1.99005,0.1056,0.00264,1,0.99299,0.995,0.98365,0.26686,2.50378,0.24869,0.0025,0.00074704,0.00074704,0.00074704
32,605.085,0.40273,1.87945,0.11632,0.00203,1,0.99569,0.995,0.97529,0.2675,2.41513,0.24911,0.00184,0.00073378,0.00073378,0.00073378
33,626.728,0.49718,1.77405,0.11185,0.00596,1,0.99569,0.995,0.97529,0.2675,2.41513,0.24911,0.00184,0.000718144,0.000718144,0.000718144
34,649.73,0.46109,1.97342,0.137,0.00316,1,0.99455,0.995,0.98383,0.25424,2.35277,0.25067,0.00199,0.0006932,0.0006932,0.0006932
35,679.027,0.4121,1.76502,0.11748,0.00308,1,0.9939,0.995,0.9819,0.31449,2.34329,0.25086,0.00285,0.0006536,0.0006536,0.0006536
36,715.678,0.56882,1.77843,0.13554,0.0033,1,0.99475,0.995,0.88541,0.50306,2.38371,0.24907,0.0064,0.000614,0.000614,0.000614
37,731.326,0.52483,1.83029,0.13729,0.00263,1,0.99475,0.995,0.88541,0.50306,2.38371,0.24907,0.0064,0.0005744,0.0005744,0.0005744
38,746.994,0.53413,1.81403,0.11884,0.00301,1,0.99534,0.995,0.88452,0.54687,2.36044,0.24855,0.00794,0.0005348,0.0005348,0.0005348
39,764.1,0.54042,1.86029,0.1513,0.00371,1,0.9959,0.995,0.88482,0.48307,2.28496,0.25032,0.0064,0.0004952,0.0004952,0.0004952
40,783.565,0.45237,1.66114,0.12169,0.00327,1,0.99701,0.995,0.9316,0.38018,2.18169,0.25313,0.00405,0.0004556,0.0004556,0.0004556
41,805.395,0.34249,3.63329,0.17187,0.00326,1,0.99701,0.995,0.9316,0.38018,2.18169,0.25313,0.00405,0.000416,0.000416,0.000416
42,827.539,0.35502,3.64111,0.20113,0.00343,1,0.99842,0.995,0.9726,0.33101,2.11083,0.25611,0.00282,0.0003764,0.0003764,0.0003764
43,848.28,0.34783,3.48567,0.21176,0.00183,1,0.9992,0.995,0.9635,0.33257,2.08573,0.25925,0.00225,0.0003368,0.0003368,0.0003368
44,868.386,0.28565,3.5094,0.21373,0.00225,1,0.99946,0.995,0.95285,0.35957,2.0898,0.26199,0.002,0.0002972,0.0002972,0.0002972
45,888.329,0.30269,3.34522,0.19757,0.00319,1,0.99946,0.995,0.95285,0.35957,2.0898,0.26199,0.002,0.0002576,0.0002576,0.0002576
46,907.828,0.29119,3.47591,0.2031,0.00318,0.9992,1,0.995,0.9427,0.38899,2.10155,0.26323,0.00199,0.000218,0.000218,0.000218
47,927.235,0.30839,3.36383,0.17703,0.00341,0.99802,1,0.995,0.92575,0.4136,2.12101,0.26375,0.0021,0.0001784,0.0001784,0.0001784
48,946.574,0.30193,3.54862,0.22976,0.00327,0.99712,1,0.995,0.90886,0.43165,2.14142,0.26362,0.00236,0.0001388,0.0001388,0.0001388
49,965.685,0.30945,3.35412,0.21265,0.00252,0.99712,1,0.995,0.90886,0.43165,2.14142,0.26362,0.00236,9.92e-05,9.92e-05,9.92e-05
50,984.894,0.29192,3.24856,0.205,0.00218,0.99609,1,0.995,0.90951,0.43236,2.15429,0.26321,0.00254,5.96e-05,5.96e-05,5.96e-05
